acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,totalpay,county,PctUnempl,MedIncome,IncomePctStateAvg,PctPoverty,Pct_ltHS,Pct_HS,Pct_SomeCollege,Pct_BachPlus,Pct_AnyDebtCollections,MedianDebtCollections,Pct_AutoLoan,Pct_AutoLoanCollections,Pct_CCLoanCollections,Pct_EduLoan,MedianEduLoan,Pct_EduLoanCollections,MedianMedDebt,Pct_MedDebtCollections,Pct_NoHealthIns,percentPay
1651,MA,02124,Bank_Of_Am,2443,02014067,2,0.5660,-0.57,111,89,75,3,225,25025,3.6,77163,86.1,18.5,12.98803008,20.8316,18.03735309,48.14301682,19.64854,1412,19.56171,3.06265,3.44432,19.50796,23800.5,5.91352,401,3.80401,3.11434,9.20998772
1652,FL,32209,Discover,4895,02014665,2,0.2598,-1.35,87,57,24,1,229,12031,3,60121,95.3,14.9,9.500403307,28.05623762,30.93662147,31.5067376,38.09243,2310,33.06779,5.34953,5.50589,16.84387,19652,9.735,1035.5,21.9336,12.14145,4.678243105
1653,AK,99517,Bank_Of_Am,2419,02925281,2,0.3505,-1.05,110,30,34,5,1020,02020,3.3,86152,109.8,9.5,5.844955305,23.71399603,33.6688876,36.77216107,17.9714,1952,30.41687,2.11316,2.64716,15.15996,18292,7.03437,399,3.92632,9.06675,42.16618437
1654,PA,19103,Bank_Of_Am,10308,09011992,9,0.5368,-0.62,137,46,19,3,2800,42101,5.4,52882,76.7,22.3,13.44967286,31.36673985,22.66209784,32.52148945,35.02126,1631,23.31593,6.16572,6.70219,23.36,22803,11.19706,408,7.32685,7.22665,27.16336826
1655,CA,92029,Bank_Of_Am,7792,01018957,1,0.8121,-0.21,115,34,3,2,1624,06073,3.4,90756,107,10.7,11.6848286,18.19642779,29.85549373,40.26324989,20.19116,1924,28.30083,2.24266,2.34859,12.17414,19222,6.50241,855,9.18014,6.69465,20.84188912
1656,MA,02474,Discover,2253,03013312,3,0.5648,-0.57,123,13,52,1,800,25017,3.1,112345,125.4,7.7,6.428638948,18.06826616,17.7378585,57.76523639,12.30891,1471,26.16777,1.66961,2.11965,16.31408,23081,3.59678,511.5,3.17326,2.11603,35.50821127
1657,LA,70529,Chase,2491,03013535,3,0.9799,-0.02,120,86,89,1,663,22001,3.7,44648,85.7,20.6,19.6951506,42.94513755,23.74588923,13.61382262,35.33679,1459.5,30.15544,5.57668,4.78215,12.07254,11161,7.29614,683,18.96373,7.4973,26.61581694
1658,FL,33846,Discover,1659,01019556,1,0.7113,-0.34,91,12,31,2,1350,12105,3.5,56344,89.4,15.6,13.64263731,33.89936001,31.45216862,21.00583406,35.7929,2324,35.42603,4.83327,5.22608,13.9,18458,9.75682,1027,18.57043,13.56668,81.37432188
1659,MT,59922,Wells_FIB,3700,10011675,10,0.0853,-2.46,98,79,2,2,675,30047,3,50978,80.5,17.2,7.671130605,25.25313798,34.52942,32.54631142,20.09217,1407,25.62212,2.25989,2.51852,11.79724,15447.5,5.46875,507,10.23041,13.96985,18.24324324
1660,AZ,85251,Wells,4065,05012975,5,0.9687,-0.03,132,41,134,6,1925,04013,3.3,76230,110.5,11.3,11.15749581,22.02357049,32.46251888,34.35641482,26.4425,1897,31.1102,3.95944,3.37067,15.88688,18567,9.04062,717,12.59393,10.652,47.35547355
1661,CA,96080,Bank_Of_Am,1510,06012734,6,0.4611,-0.77,133,32,2,1,1400,06103,4.8,53654,63.2,15.6,14.2313004,28.98828351,39.79150889,16.9889072,28.68774,1385,30.98659,4.36508,4.23509,7.95019,14364.5,9.03614,564,13.74521,7.42292,92.71523179
1662,TX,77076,Associates,1885,08012177,8,0.7584,-0.28,142,21,7,2,1784,48201,4.2,63539,94.9,16.4,18.13170496,22.75718363,26.58484296,32.52626845,37.36998,2041,27.98331,7.34685,4.57956,14.67667,18894,9.26155,867,13.47865,21.81881,94.64190981
