acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,county,PctUnempl,MedIncome,IncomePctStateAvg,PctPoverty,Pct_ltHS,Pct_HS,Pct_SomeCollege,Pct_BachPlus,Pct_AnyDebtCollections,MedianDebtCollections,Pct_AutoLoan,Pct_AutoLoanCollections,Pct_CCLoanCollections,Pct_EduLoan,MedianEduLoan,Pct_EduLoanCollections,MedianMedDebt,Pct_MedDebtCollections,Pct_NoHealthIns
5491,CA,92625,Bank_Of_Am,3992,01015426,1,0.0795,-2.53,79,43,42,1,06059,3.2,100210,118.1,9.9,13.38891948,17.24420737,27.25107979,42.11579335,17.55021,1857,27.25739,2.29937,2.10546,10.69581,19182,5.73619,683.5,7.07588,6.87569
5492,MN,55445,Associates,2582,05012901,5,0.2660,-1.32,136,36,48,2,27053,2.5,84220,108.4,10,6.133782088,15.696371,26.32229969,51.84754722,13.05151,1701,27.6388,2.11527,2.28963,19.50959,21947,5.25684,387.5,2.249,4.55455
5493,MI,48083,Discover,9282,01015666,1,0.5829,-0.54,106,31,168,2,26125,3,86597,136.5,7.8,5.353933728,18.15315734,27.55535194,48.93755699,18.96272,1351.5,36.67305,2.82388,2.52013,17.29609,24835,6.86275,380,9.05744,3.65806
5494,CA,95816,Wells,2368,02014119,2,0.0705,-2.65,144,7,52,3,06067,3.9,79611,93.8,13,11.93478218,22.01223115,34.05600934,31.99697733,22.09095,2018,27.60174,3.33184,3.08424,13.21636,18245,8.82954,753,8.55482,4.89563
5495,DC,20020,Chase,3396,09012081,9,0.1513,-1.89,127,12,36,2,11001,4.7,91072,100,16.8,7.777727659,15.49271517,15.32848362,61.40107355,22.32908,1672,17.94896,8.00588,4.47871,20.31518,29134,7.61659,599,6.06075,3.67087
5496,TN,38301,Associates,1100,09011955,9,0.5969,-0.52,121,2,63,1,47113,3.4,53954,90.4,17.1,10.5226375,33.23154057,29.2342753,27.01154664,34.82858,1677,27.8116,7.91489,4.90315,16.50112,21421,10.87379,703,16.9497,6.7592
5497,WI,54961,Associates,2377,01019414,1,0.6060,-0.5,86,17,475,5,55087,2.5,73882,110,7.3,5.694744923,30.64104652,32.96655578,30.69765278,16.75801,1542,33.31673,1.75953,1.6703,15.69507,17674,4.7619,795.5,11.0945,3.23367
5498,IL,60608,Discover,5343,02014217,2,0.5440,-0.61,143,70,86,2,17031,5,72063,99.8,13.8,12.02660655,22.42699294,24.79774466,40.74865585,27.42029,1448,23.33793,4.92323,3.65191,16.81452,22564,7.54465,587,13.28281,8.93505
5499,CA,94577,Chase_Rev,5554,09012120,9,0.3729,-0.99,104,27,32,1,06001,3.3,108971,128.5,9.4,10.99556649,16.65392093,22.70746308,49.6430495,14.8565,1866,20.97298,2.93913,2.00185,10.51324,21097,6.57943,750,5.58146,4.22155
5500,CA,91942,Associates,2632,06012647,6,0.1811,-1.71,137,88,59,2,06073,3.4,90756,107,10.7,11.6848286,18.19642779,29.85549373,40.26324989,20.19116,1924,28.30083,2.24266,2.34859,12.17414,19222,6.50241,855,9.18014,6.69465
5501,NY,10462,Discover,557,01015056,1,0.2862,-1.25,136,20,69,10,36005,7.8,43143,58.1,26.4,25.8710362,27.85533524,25.3350941,20.93853447,30.75821,1916,14.16069,7.05584,7.05134,15.53628,18348,10.82875,440,6.1109,7.58297
5502,UT,84606,Wells,261,08000000,8,0.6354,-0.45,145,33,16,4,49049,2.1,86597,109,8.1,4.874927105,16.84601455,35.99060802,42.28845032,16.17082,1923,35.94247,1.9071,1.82582,15.75365,15234.5,5.22648,952,10.03403,7.96042
5503,WA,99022,Wells,4837,06012750,6,0.7965,-0.23,119,6,59,1,53043,5.4,64692,76.9,11.3,7.705301455,27.33887734,40.64449064,24.31133056,14.61988,2201.5,28.94737,0,1.80995,15.78947,21106,0,513.275,1.75439,3.02152
5504,CA,93030,Bank_Of_Am,1191,07012373,7,0.4823,-0.73,144,58,30,1,06111,3.7,95819,113,8.9,14.3749402,19.76652139,31.82650904,34.03202937,17.93591,1516,28.44592,2.06117,2.20438,10.40429,18734,5.32586,531,6.99573,8.97123
5505,TX,75235,Discover,5995,10011286,10,0.4234,-0.86,120,52,65,2,48113,3.7,63549,94.9,14.4,19.27701005,22.59537298,25.17173246,32.9558845,40.74712,1773,26.5275,7.21764,4.45836,14.69989,19302,11.01283,789,19.31871,22.04706
5506,TX,79423,Discover,9413,08000000,8,0.6987,-0.36,137,30,94,3,48305,3.5,50374,75.2,16.8,20.95395644,28.53598015,27.40556934,23.10449407,41.37931,2188,35.46798,8.98876,8.49057,14.77832,15912.38519,9.816377556,528,26.10838,14.59313
5507,OH,44302,Discover,995,04013257,4,0.7142,-0.34,131,11,38,1,39153,4.1,63191,101.5,12.5,7.376722633,29.49771713,29.18293853,33.9426217,27.18474,1176,32.8665,4.23716,3.90346,18.90692,22710,7.97952,388,13.20239,5.48848
5508,CA,91935,Associates,1665,01019455,1,0.9877,-0.01,141,21,81,9,06073,3.4,90756,107,10.7,11.6848286,18.19642779,29.85549373,40.26324989,20.19116,1924,28.30083,2.24266,2.34859,12.17414,19222,6.50241,855,9.18014,6.69465
