"","YEAR","AGE","SEX","DEGREE","REGION","PersIncomeAdj","MARITAL","EDUC","CLASS_","BORN","PRESTG10","SEI10","FINRELA","SATFIN","UNEMP","JOBLOSE","JobFind"
"8079",1977,22,2,1,5,10335.4310973451,1,12,2,1,48,26.1,3,2,1,4,2
"8083",1977,32,1,4,5,70456.0552566372,1,16,2,1,61,80.9,3,1,2,4,3
"8084",1977,49,2,0,5,10335.4310973451,2,7,2,1,31,19.6,2,1,1,4,1
"8085",1977,26,1,1,5,85914.8997522124,1,12,2,1,36,36.7,3,1,2,3,1
"8086",1977,59,2,1,5,39126.6168672566,3,12,3,1,60,65.3,2,3,2,4,3
"8090",1977,53,1,0,5,187434.580495575,1,7,2,1,45,46.6,3,1,2,3,1
"8092",1977,58,1,1,5,58577.866920354,5,12,2,1,18,29.4,3,1,2,3,3
"8096",1977,22,1,1,5,85914.8997522124,1,12,2,1,42,31,3,1,1,3,1
"8098",1977,43,1,0,5,46939.4313982301,1,5,2,1,33,29.9,2,3,2,4,3
"8102",1977,57,2,0,5,39126.6168672566,2,7,2,1,24,17.1,3,2,2,4,3
"8103",1977,56,2,4,5,70456.0552566372,1,17,3,1,64,82.5,4,1,2,4,3
"8106",1977,22,1,0,5,23469.715699115,1,8,3,1,27,14,3,1,1,4,3
"8107",1977,41,2,1,5,23469.715699115,1,12,2,1,29,9,3,2,2,4,2
"8108",1977,35,1,0,5,46939.4313982301,1,7,2,1,27,14,3,1,2,3,3
"8109",1977,53,2,0,5,39126.6168672566,2,7,2,1,32,13.2,2,1,2,3,3
"8110",1977,53,2,0,5,39126.6168672566,1,8,2,1,25,23.8,3,2,2,4,1
"8112",1977,21,2,2,5,18226.4258938053,1,14,3,1,35,26.8,3,3,2,4,3
"8113",1977,33,1,1,5,39126.6168672566,1,14,3,1,50,68.6,3,2,1,3,3
"8114",1977,54,1,0,5,85914.8997522124,1,10,3,1,38,52.1,3,1,2,4,3
"8116",1977,36,1,1,5,123785.420353982,1,12,2,1,35,32,3,1,1,4,3
"8120",1977,24,1,0,5,10335.4310973451,1,9,2,1,40,22.9,2,1,2,4,2
"8121",1977,42,1,0,5,2262.01568141593,1,8,2,1,46,39.9,2,1,2,4,3
"8123",1977,23,1,0,5,10335.4310973451,1,11,2,1,28,18.8,3,2,2,4,3
"8124",1977,32,1,0,5,58577.866920354,4,9,2,1,38,28.4,2,2,2,4,1
"8126",1977,23,1,3,1,23752.0751178707,5,16,3,1,73,86.5,3,2,1,3,2
"8131",1977,54,2,3,5,58577.866920354,1,16,3,1,64,82.5,4,3,2,3,2
"8139",1977,28,2,1,5,23469.715699115,4,12,2,1,32,13.2,2,2,1,3,2
"8141",1977,41,2,1,5,39126.6168672566,1,12,2,1,38,52.1,4,2,2,3,3
"8142",1977,52,2,0,5,10335.4310973451,4,6,1,1,27,14,1,3,1,1,3
"8143",1977,52,2,1,5,18226.4258938053,1,12,3,1,45,38.3,3,1,2,4,3
"8145",1977,63,1,0,5,33799.9347787611,1,3,2,1,46,39.9,3,2,2,4,3
"8148",1977,45,1,0,5,39126.6168672566,2,8,2,1,35,20.9,3,2,2,3,2
"8149",1977,42,1,1,3,56185.6732776544,1,12,3,1,44,28.7,3,3,1,2,3
"8150",1977,28,2,0,5,18226.4258938053,1,10,2,1,48,24.2,2,1,2,2,3
"8151",1977,36,1,0,5,46939.4313982301,1,10,2,1,31,23,3,1,2,3,2
"8152",1977,44,2,4,5,58577.866920354,1,16,3,1,64,82.5,4,3,2,4,2
"8153",1977,57,2,1,5,28582.7050619469,2,12,2,1,31,39.7,2,2,1,4,3
"8155",1977,61,1,0,5,39126.6168672566,1,10,2,1,34,34.7,2,2,2,4,2
"8157",1977,61,2,4,5,58577.866920354,1,17,3,1,38,59.1,4,1,2,4,1
"8158",1977,45,2,1,5,33799.9347787611,1,12,3,1,39,67.7,3,1,2,4,2
"8161",1977,28,1,4,5,85914.8997522124,1,16,3,1,69,91.1,4,1,2,4,1
"8164",1977,68,2,1,3,17482.0980026655,3,12,2,1,28,21.6,2,2,2,4,3
"8170",1977,32,2,1,3,45022.5263402932,1,12,2,2,48,24.2,1,3,1,4,2
"8175",1977,51,1,1,3,67578.7820417592,1,12,2,1,35,42.9,2,2,2,4,3
"8179",1977,35,1,3,1,59282.6054296578,4,16,3,1,60,76.3,4,2,1,4,2
"8180",1977,49,1,4,3,179780.156812084,1,20,3,2,74,84.5,4,1,2,4,2
"8182",1977,22,2,1,3,9913.3544007108,1,13,1,1,44,43.8,2,3,1,1,1
"8183",1977,49,2,4,3,118730.290981786,1,18,2,1,59,75.5,4,2,2,4,3
"8184",1977,59,2,3,3,82406.3206965793,5,16,3,1,64,82.5,3,1,2,3,1
"8188",1977,53,2,1,3,106232.365615282,1,12,2,1,46,52,3,2,2,4,2
"8190",1977,22,2,1,1,2289.22953612167,5,15,2,1,33,44.9,3,3,2,3,2
