PlayerNumber	 Age 	 FedExCupPoints 	 Money 	 Round1Score 	 Round2Score 	 Round3Score 	 Round4Score 	 TotalStrokes 	 AverageDrive 	Drive_rank	 Percent_Birdie_when_GIR 	 Percent_Fairways 	 Percent_GIR 	 Putt_round 	 Percent_10foot 	 Percent_Outside10 
30692	25.75	86.63	"157,435.00"	68.5	71.75	70	69.5	279.75	288.11	47	0.36	63.36	67.01	28.19	89.3	18.44
30711	25.14	23.76	"28,985.77"	70.71	70	71.57	73	285.29	272.01	217	0.24	69.64	61.31	28.61	89.56	15.01
30750	35	67.69	"130,397.43"	68.9	69.4	69.5	71.7	279.5	284.42	85	0.32	62.14	67.78	31.58	89.86	15.43
30852	20	 -   	"59,000.00"	65	76	70	78	289	288.73	43	0.41	37.5	54.17	26.75	91.8	34.78
30924	26	 -   	"41,500.00"	73	76	72	74	295	274.54	200	0.23	33.93	54.17	29.25	93.06	8.89
30925	26	100.13	"223,621.68"	68.75	70.75	70.13	69.75	279.38	301.24	2	0.37	58.25	71.35	33.81	85.31	15.2
30926	25.14	63.43	"101,783.47"	68	71	71.57	69.43	280	287.29	56	0.3	50.77	71.03	30.64	86.77	17.38
30946	26	24.42	"32,819.47"	70.43	70.29	71.14	72.14	284	291.2	20	0.29	55.3	66.87	35.17	88.63	12.34
31114	24	 -   	"17,732.00"	71	70	75	72	288	284.63	82	0.34	58.93	65.28	29.5	82.28	15.38
31193	27	7.75	"12,541.00"	71.67	71.33	72	74	289	287.9	50	0.29	54.76	56.48	27.67	88.01	15.58
31202	31	34.86	"33,192.92"	71.29	69.14	70.86	72.14	283.43	278.52	154	0.25	59.87	67.66	33.93	89.77	16.33
31323	26.25	109.86	"222,099.60"	70.13	69	69.25	71.63	280	295.77	10	0.34	58.33	68.23	30.48	86.38	17.61
31401	26	29.05	"43,739.55"	70.63	70.38	70.88	73	284.88	285.53	72	0.32	59.97	63.02	33.96	85.52	13.04
31557	33	14.64	"18,493.61"	70	73.33	72.67	72.67	288.67	293.33	16	0.27	48.21	65.74	29.42	87.98	11.57
32102	22	49.82	"77,638.30"	68.67	70.44	70.11	71.33	280.56	290.74	24	0.37	54.37	66.2	28.79	86.11	19.23
32150	25.4	41.7	"75,408.20"	70.2	68	71.8	71.6	281.6	283.18	103	0.3	57.39	67.5	36.87	88.92	16.27
32366	24	61.43	"124,980.00"	69.4	71.8	71.2	72.6	285	284.49	83	0.35	56.64	58.61	33.3	84.81	17.07
32640	25	13.47	"16,541.63"	70.75	72.5	73	71.25	287.5	275.06	194	0.28	61.61	65.28	29.63	85.63	15.03
32698	25	37.16	"82,702.75"	70.25	71	70.5	74	285.75	286.98	60	0.31	56.08	67.01	31.94	84.55	17.46
32876	25	21.3	"23,660.36"	70	71.4	73.4	74.4	289.2	290.06	29	0.28	47.14	60.83	30.6	88.5	17.65
33141	24.22	86.88	"179,322.03"	69.67	70.11	71.11	71.56	282.44	288.77	42	0.29	61.46	64.51	33.03	87.91	15.65
33199	18	 -   	"37,620.63"	70	69	72.5	73	284.5	268.25	247	0.35	63.05	62.5	28.25	85.33	19.79
33413	23	26.63	"25,160.67"	70.25	71	71.5	73.25	286	281.16	122	0.32	61.16	63.19	30.63	90.98	15.7
33419	23	30.2	"59,762.72"	71.33	69.44	70.67	73.33	284.78	285.1	78.5	0.29	51.59	63.27	30.19	88.26	15.55
33461	20	 -   	"18,840.00"	68	67	68	69	272	283.84	95	0.27	73.21	66.67	27.5	86.67	11.43
33911	27	21.34	"21,578.03"	70	68.8	69.8	73	281.6	269.53	240	0.31	70.29	63.33	33.75	88.24	16.32
34021	21	 -   	"46,425.00"	68	67	69	65	269	282.7	108	0.27	75	76.39	29	93.85	21.57
34072	25	35.5	"35,192.86"	66	76	76	68	286	290.64	25.5	0.34	50	50	27.25	84.51	26.32
34255	22.75	13.38	"15,129.50"	70	70.25	74	71.25	285.5	283.59	99	0.29	61.61	68.4	29.44	88.27	13.19
35087	20	36.83	"44,003.50"	74.33	68.67	73.33	68	284.33	283.6	98	0.38	52.18	53.7	35.5	86.33	28.33
